table_name,column_name,data_type,enum_values,column_default,is_nullable,character_maximum_length,numeric_precision,numeric_scale,constraint_type,references,column_comment
achievement_types,type,text,null,null,NO,null,null,null,PRIMARY KEY,null,null
achievement_types,type,text,null,null,NO,null,null,null,CHECK,null,null
achievement_types,type,text,null,null,NO,null,null,null,CHECK,null,null
achievement_types,name,text,null,null,NO,null,null,null,CHECK,null,null
achievement_types,name,text,null,null,NO,null,null,null,CHECK,null,null
achievement_types,name,text,null,null,NO,null,null,null,PRIMARY KEY,null,null
achievement_types,description,text,null,null,YES,null,null,null,PRIMARY KEY,null,null
achievement_types,description,text,null,null,YES,null,null,null,CHECK,null,null
achievement_types,description,text,null,null,YES,null,null,null,CHECK,null,null
achievement_types,created_at,timestamp with time zone,null,now(),YES,null,null,null,CHECK,null,null
achievement_types,created_at,timestamp with time zone,null,now(),YES,null,null,null,PRIMARY KEY,null,null
achievement_types,created_at,timestamp with time zone,null,now(),YES,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,PRIMARY KEY,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,id,uuid,null,uuid_generate_v4(),NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,name,text,null,null,NO,null,null,null,PRIMARY KEY,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,PRIMARY KEY,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,description,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,PRIMARY KEY,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,icon_url,text,null,null,YES,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,PRIMARY KEY,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,category,text,null,null,NO,null,null,null,CHECK,null,null
badge_definitions,points,integer,null,0,NO,null,32,0,CHECK,null,null
badge_definitions,points,integer,null,0,NO,null,32,0,CHECK,null,null
badge_definitions,points,integer,null,0,NO,null,32,0,CHECK,null,null
badge_definitions,points,integer,null,0,NO,null,32,0,CHECK,null,null
