table_schema,table_name,column_name,data_type,is_nullable,column_default,object_type,constraint_name,referenced_table,referenced_column
public,achievement_types,type,text,NO,null,Table,null,null,null
public,achievement_types,name,text,NO,null,Table,null,null,null
public,achievement_types,description,text,YES,null,Table,null,null,null
public,achievement_types,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,badge_definitions,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,badge_definitions,name,text,NO,null,Table,null,null,null
public,badge_definitions,description,text,NO,null,Table,null,null,null
public,badge_definitions,icon_url,text,YES,null,Table,null,null,null
public,badge_definitions,category,text,NO,null,Table,null,null,null
public,badge_definitions,points,integer,NO,0,Table,null,null,null
public,badge_definitions,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,badge_definitions,requirements,jsonb,NO,'{}'::jsonb,Table,null,null,null
public,badge_definitions,is_active,boolean,NO,true,Table,null,null,null
public,badges,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,badges,name,text,NO,null,Table,null,null,null
public,badges,description,text,NO,null,Table,null,null,null
public,badges,icon_url,text,YES,null,Table,null,null,null
public,badges,category,text,NO,null,Table,null,null,null
public,badges,points,integer,YES,0,Table,null,null,null
public,badges,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,chat_conversations,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,chat_conversations,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,chat_conversations,updated_at,timestamp with time zone,YES,now(),Table,null,null,null
public,chat_conversations,is_group_chat,boolean,NO,false,Table,null,null,null
public,chat_messages,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,chat_messages,conversation_id,uuid,NO,null,Table,chat_messages_conversation_id_fkey,chat_conversations,id
public,chat_messages,sender_id,uuid,NO,null,Table,chat_messages_sender_id_fkey,users,id
public,chat_messages,content,text,NO,null,Table,null,null,null
public,chat_messages,media_url,text,YES,null,Table,null,null,null
public,chat_messages,read,boolean,YES,false,Table,null,null,null
public,chat_messages,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,chat_messages,updated_at,timestamp with time zone,YES,now(),Table,null,null,null
public,chat_participants,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,chat_participants,conversation_id,uuid,NO,null,Table,chat_participants_conversation_id_fkey,chat_conversations,id
public,chat_participants,user_id,uuid,NO,null,Table,chat_participants_user_id_fkey,users,id
public,chat_participants,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,claims,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,claims,booking_id,uuid,YES,null,Table,claims_booking_id_fkey,service_bookings,id
public,claims,user_id,uuid,YES,null,Table,claims_user_id_fkey,users,id
public,claims,status,text,NO,null,Table,null,null,null
public,claims,amount,numeric,NO,null,Table,null,null,null
public,claims,expiry_date,date,NO,null,Table,null,null,null
public,claims,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,comments,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,comments,post_id,uuid,YES,null,Table,comments_post_id_fkey,posts,post_id
public,comments,user_id,uuid,YES,null,Table,comments_user_id_fkey,users,id
public,comments,content,text,NO,null,Table,null,null,null
public,comments,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,detailed_accessibility_features,id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,detailed_accessibility_features,listing_id,uuid,NO,null,Table,detailed_accessibility_features_listing_id_fkey,housing_listings,id
public,detailed_accessibility_features,feature_type,text,NO,null,Table,null,null,null
public,detailed_accessibility_features,feature_name,text,NO,null,Table,null,null,null
public,detailed_accessibility_features,description,text,YES,null,Table,null,null,null
public,detailed_accessibility_features,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,favorites,favorite_id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,favorites,user_id,uuid,NO,null,Table,favorites_user_id_fkey,users,id
public,favorites,item_id,uuid,NO,null,Table,null,null,null
public,favorites,item_type,text,NO,null,Table,null,null,null
public,favorites,created_at,timestamp with time zone,NO,now(),Table,null,null,null
public,friendships,friendships_id,uuid,NO,uuid_generate_v4(),Table,null,null,null
public,friendships,user_id,uuid,NO,null,Table,friendships_user_id_fkey,users,id
public,friendships,friend_id,uuid,NO,null,Table,friendships_friend_id_fkey,users,id
public,friendships,status,text,NO,null,Table,null,null,null
public,friendships,category,text,NO,'friend'::text,Table,null,null,null
public,friendships,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,friendships,updated_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_event_participants,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,group_event_participants,event_id,uuid,YES,null,Table,group_event_participants_event_id_fkey,group_events,id
public,group_event_participants,user_id,uuid,YES,null,Table,group_event_participants_user_id_fkey,user_profiles,id
public,group_event_participants,status,text,YES,'going'::text,Table,null,null,null
public,group_event_participants,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_events,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,group_events,group_id,uuid,YES,null,Table,group_events_group_id_fkey,groups,id
public,group_events,subgroup_id,uuid,YES,null,Table,group_events_subgroup_id_fkey,subgroups,id
public,group_events,title,text,NO,null,Table,null,null,null
public,group_events,description,text,YES,null,Table,null,null,null
public,group_events,start_time,timestamp with time zone,NO,null,Table,null,null,null
public,group_events,end_time,timestamp with time zone,YES,null,Table,null,null,null
public,group_events,location,jsonb,YES,null,Table,null,null,null
public,group_events,max_participants,integer,YES,null,Table,null,null,null
public,group_events,created_by,uuid,YES,null,Table,group_events_created_by_fkey,user_profiles,id
public,group_events,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_events,updated_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_events,image_url,text,YES,null,Table,null,null,null
public,group_events,admission_fee,text,YES,null,Table,null,null,null
public,group_events,category,USER-DEFINED,YES,null,Table,null,null,null
public,group_invites,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,group_invites,group_id,uuid,YES,null,Table,group_invites_group_id_fkey,groups,id
public,group_invites,inviter_id,uuid,YES,null,Table,group_invites_inviter_id_fkey,user_profiles,id
public,group_invites,invitee_id,uuid,YES,null,Table,group_invites_invitee_id_fkey,user_profiles,id
public,group_invites,status,text,YES,'pending'::text,Table,null,null,null
public,group_invites,created_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_invites,expires_at,timestamp with time zone,YES,(now() + '7 days'::interval),Table,null,null,null
public,group_members,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,group_members,group_id,uuid,YES,null,Table,group_members_group_id_fkey,groups,id
public,group_members,user_id,uuid,YES,null,Table,group_members_user_id_fkey,user_profiles,id
public,group_members,role,text,NO,null,Table,null,null,null
public,group_members,joined_at,timestamp with time zone,YES,now(),Table,null,null,null
public,group_post_comments,id,uuid,NO,gen_random_uuid(),Table,null,null,null
public,group_post_comments,post_id,uuid,YES,null,Table,group_post_comments_post_id_fkey,group_posts,id
public,group_post_comments,author_id,uuid,YES,null,Table,group_post_comments_author_id_fkey,user_profiles,id
public,group_post_comments,content,text,NO,null,Table,null,null,null
public,group_post_comments,parent_id,uuid,YES,null,Table,group_post_comments_parent_id_fkey,group_post_comments,id
